Data extracted on 03/02/2024 20:34:08 from [ESTAT];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
Lithuania;Total;16387,1;17429,338;11471,405;9407,144;8414,075;8992,024;9664,896;9100,694;9524,986;8163,052;7441,157;8497,82;9092,07;9477,881;9607,706;9124,422;9009,051;9721,582;9718,814;8968,408;7220,745;7486,453;7538,807;7103,124;7071,11;7260,107;7518,281;7868,512;8034,248;7996,646;7814,577;8136,44;7286,529
Lithuania;Solid fossil fuels;781,775;874,172;394,787;353,389;289,191;223,193;206,992;163,393;141,543;114,894;80,581;72,335;123,984;159,587;154,56;167,775;233;222,385;189,448;144,76;182,001;210,41;200,168;227,067;195,934;160,293;159,335;163,209;172,912;169,367;134,591;160,112;157,889
Lithuania;Natural gas;4677,923;4842,584;2766,531;1496,217;1730,997;2028,504;2168,616;2002,021;1753,611;1812,575;2063,715;2146,109;2170,099;2354,084;2347,678;2476,462;2454,063;2891,617;2595,636;2181,298;2491,788;2718,035;2654,041;2164,51;2064,51;2067,476;1841,595;1921,474;1775,688;1864,4;1971,754;1876,279;1281,434
Lithuania;Oil and petroleum products (excluding biofuel portion);6940,105;7850,967;4359,201;3902,944;3594,584;3154,309;3299,978;3288,316;3727,308;2974,299;2253,186;2669,543;2575,626;2445,991;2644,242;2831,284;2828,214;2809,953;3045,95;2620,346;2690,633;2604,63;2645,823;2581,805;2528,836;2675,823;2995,206;3073,061;3287,134;3205,329;3065,392;3095,458;3109,425
Lithuania;Renewables and biofuels;320,206;313,672;311,565;459,105;478,58;493,331;533,405;543,102;606,482;626,947;674,572;730,286;769,953;794,043;843,483;881,122;930,749;964,011;1021,1;1051,997;1064,947;1056,602;1161,34;1212,272;1277,028;1418,936;1464,35;1573,395;1588,403;1589,122;1655,641;1874,346;1791,928
Luxembourg;Total;3510,919;3745,32;3752,585;3802,474;3708,362;3325,373;3386,854;3344,981;3269,595;3445,379;3656,453;3856,738;4020,798;4237,431;4705,974;4802,008;4724,399;4634,501;4638,561;4368,588;4644,06;4569,659;4460,701;4340,079;4222,015;4178,238;4190,508;4330,389;4504,875;4545,787;3968,64;4222,703;3827,57
Luxembourg;Solid fossil fuels;1110,402;1045,065;977,508;1007,189;868,785;489,068;457,88;289,83;94,946;96,059;109,738;118,083;73,651;56,586;79,5;77,598;92,596;78,35;74,916;66,908;65,576;59,128;54,824;52,562;52,088;49,215;50,93;47,116;41,76;45,757;38,442;39,427;41,073
Luxembourg;Natural gas;429,514;446,883;465,8;483,856;488,22;557,094;611,135;626,204;632,717;655,997;671,351;746,309;1066,84;1079,934;1195,889;1176,272;1230,389;1148,455;1093,237;1112,465;1196,587;1032,276;1051,062;889,903;843,161;768,943;709,108;693,134;683,631;684,057;621,269;669,803;526,001
Luxembourg;Oil and petroleum products (excluding biofuel portion);1604,107;1866,369;1921,636;1918,914;1922,972;1804,467;1858,792;1940,527;2023,326;2162,009;2321,091;2463,101;2508,622;2703,168;3054,898;3161,398;2982,882;2905,514;2928,123;2742,1;2872,421;2934,145;2830,723;2784,13;2684,374;2636,524;2633,031;2756,336;2916,012;2949,594;2394,364;2571,217;2340,941
Luxembourg;Renewables and biofuels;18,2;19,667;34,537;33,658;35,029;34,723;29,76;33,501;36,582;34,58;38,651;40,037;38,137;41,23;49,941;71,31;75,808;128,792;133,461;125,12;129,296;126,777;138,387;154,861;188,92;208,226;222,012;265,646;295,734;322,799;399,93;408,759;404,569
Hungary;Total;29149,536;27811,044;25194,62;25851,649;25101,775;26043,719;26755,921;26244,903;25898,708;25722,033;25230,553;25819,282;25805,989;26347,864;26435,83;28510,279;28200,837;27596,784;27170,55;25840,354;26592,419;26062,623;24771,026;23919,922;23823,234;25203,244;25519,653;26656,45;26704,565;26705,486;26139,518;27375,503;25789,597
Hungary;Solid fossil fuels;6202,806;6020,426;5237,708;4895,787;4776,942;4642,661;4755,566;4586,473;4274,727;4157,059;3849,056;3620,461;3622,676;3748,726;3466,867;3070,138;3075,92;3128,537;3037,988;2559,692;2703,315;2708,427;2604,277;2265,987;2208,787;2359,386;2189,208;2235,03;2133,421;1829,302;1683,004;1371,9;1239,377
Hungary;Natural gas;8913,07;8838,306;7769,561;8360,942;8443,358;9174,871;10237,468;9708,835;9776,29;9905,052;9656,75;10710,641;10810,555;11886,049;11712,231;12093,938;11456,771;10704,837;10560,834;9151,892;9815,499;9353,934;8376,956;7704,063;6981,621;7489,854;8027,728;8541,831;8273,796;8464,316;8764,381;9295,271;7902,816
Hungary;Oil and petroleum products (excluding biofuel portion);8775,425;7963,71;7465,387;7979,777;7233,028;7506,817;6977,791;7241,526;7270,993;7005,146;6868,442;6627,15;6463,329;6303,76;6518,921;7442,178;7754,574;7638,617;7313,286;7160,626;6798,546;6477,385;6076,677;5864,422;6581,541;7031,054;6975,893;7550,816;8063,845;8178,523;7458,358;8094,503;8066,496
Hungary;Renewables and biofuels;746,006;796,537;796,14;818,396;820,068;868,606;858,106;840,394;835,65;843,427;830,224;868,377;877,233;906,134;949,552;1689,698;1704,557;1883,101;1992,722;2542,546;2777,522;2886,419;2952,757;3111,544;2860,074;3019,564;3005,126;2973,543;2799,52;2830,236;2965,666;3238,223;3326,354
Malta;Total;798,247;796,725;798,713;964,441;886,854;835,531;793,661;1001,015;803,088;867,123;1467,056;1614,314;1575,454;1831,112;1922,748;1594,139;1689,61;1800,846;1888,597;2027,133;2387,785;2270,848;2166,325;2068,796;2115,647;2294,528;2470,445;2959,315;3053,813;3163,634;2946,878;2737,472;3040,936
Malta;Solid fossil fuels;179,134;145,099;122,409;179,134;121,811;31,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malta;Natural gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241,721;292,925;306,204;318,243;319,117;322,792
Malta;Oil and petroleum products (excluding biofuel portion);619,112;651,627;676,304;785,306;765,043;804,481;793,661;1001,015;803,088;867,123;1467,056;1614,314;1575,215;1830,802;1922,342;1593,613;1688,965;1800,057;1887,69;2026,201;2382,727;2262,587;2154,509;2056,081;2097,077;2182,789;2314,584;2604,476;2662,205;2753,776;2535,49;2317,78;2600,264
Malta;Renewables and biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0,239;0,31;0,406;0,525;0,645;0,788;0,908;0,931;5,058;8,261;11,816;12,715;18,57;21,111;24,589;39,054;45,309;48,941;57,413;56,606;62,911
Netherlands;Total;79894,38;82933,919;82501,229;83706,195;84317,518;86773,923;91036,494;89732,541;90445,252;89937,535;91428,924;94581,256;95347,992;97306,557;99449,736;99320,442;99707,035;99819,146;98549,215;95183,245;100013,605;95477,894;94435,766;92238,991;87933,618;83394,245;87716,026;87043,719;82861,05;87719,47;83884,692;85676,566;78714,739
Netherlands;Solid fossil fuels;8763,144;8016,894;8009,358;8038,896;8768,974;8930,71;8631,639;8403,953;8554,28;7464,9;7771,033;8273,865;8316,169;8586,626;8476,114;8094,021;7883,511;8409,789;7973,86;7461,87;7541,217;7439,357;8151,505;8124,174;9006,792;11088,804;10275,9;9212,759;8262,207;6423,569;4108,796;5596,988;5525,513
Netherlands;Natural gas;30727,434;34365,019;33287,83;34267,104;33359,498;34493,995;37997,853;35750,354;35528,192;34579,979;35007,514;35872,15;35798,118;35982,017;36751,103;35325,183;34243,222;33335,615;34656,419;35492,38;40066,268;35043,348;33486,088;33380,994;29103,256;28632,61;30038,321;31168,274;30754,623;32118,343;31562,207;30273,505;23432,472
Netherlands;Oil and petroleum products (excluding biofuel portion);37729,624;37917,387;38466,942;38389,03;39147,071;40109,835;40962,172;42239,799;42623,655;43488,715;44085,173;45919,086;46631,965;48039,172;49331,424;50308,788;51728,153;52220,189;49781,908;46772,041;47210,92;46979,433;46039,564;44196,928;43276,479;37211,323;41109,34;40232,302;36571,997;41600,248;39319,731;39583,124;39158,072
Netherlands;Renewables and biofuels;748,952;758,825;780,909;835,872;841,102;907,932;1039,906;1127,83;1195,14;1252,688;1346,759;1420,267;1560,749;1526,282;1808,746;2270,476;2423,477;2535,568;2939,244;3311,968;3314,653;3514,892;3620,65;3517,454;3520,232;3728,445;3843,989;4207,395;4644,825;5485,374;7009,216;8133,229;8922,195
Austria;Total;25345,32;26954,929;25909,462;26229,975;26119,855;27299,927;29062,556;28852,657;29355,239;29308,134;29244,848;30847,991;31029,749;32660,782;33098,782;34402,13;34712,085;34120,399;34391,508;32651,028;34854,184;33840,088;33740,804;34136,106;32938,236;33741,875;34209,391;34824,866;34028,126;34782,999;32352,795;34227,166;32427,819
Austria;Solid fossil fuels;4096,071;4291,149;3335,333;3001,167;3057,09;3477,176;3481,268;3688,859;3249,827;3181,596;3599,976;3725,258;3806,538;4048,78;3981,734;4056,346;4000,594;3870,335;3832,386;2868,802;3383,533;3482,458;3245,066;3316,827;3049,524;3225,201;3013,647;3108,778;2739,549;2885,071;2471,505;2555,569;2426,316
Austria;Natural gas;5236,436;5536,328;5436,393;5733,362;5897,291;6438,822;6853,439;6605,31;6781,255;6899,656;6584,566;6978,332;6947,119;7499,699;7680,267;8085,737;7570,12;7133,158;7544,578;7370,377;8122,937;7666,543;7326,59;7060,522;6467,428;6908,348;7242,752;7776,432;7362,575;7676,589;7318,892;7731,859;6889,755
Austria;Oil and petroleum products (excluding biofuel portion);10821,412;11599,366;11345,265;11578,433;11412,209;11480,272;12515,07;12452,262;13142,976;12511,674;12345,255;13158,294;13372,745;14195,934;14229,195;14460,751;14399,969;13821,86;13433,827;12648,57;13040,05;12246,019;11988,42;12263,159;11910,473;12026,898;12279,82;12304,983;12493,015;12890,616;11204,243;11791,542;11383,172
Austria;Renewables and biofuels;5037,838;5247,686;5489,418;5780,379;5607,153;5890,596;5839,247;5902,978;5944,962;6644,477;6573,66;6659,219;6482,194;6017,1;6418,072;7174,444;7703,902;8294,701;8648,22;9148,828;9478,543;9057,289;10282,138;10232,191;10067,397;10044,649;10339,992;10384,339;10010,942;10427,475;10497,608;10835,907;10285,508
Poland;Total;103740,241;101444,134;99087,39;101362,5;96625,52;99931,386;104070,069;102696,087;95822,403;93453,133;89502,85;90122,231;89091,756;91425,245;91735,869;92905,253;97834,526;97410,177;98559,486;94503,526;101819,083;101835,593;97937,027;98637,953;94970,077;96061,208;100765,314;105492,599;110246,626;106347,823;103261,157;109952,618;104931,818
Poland;Solid fossil fuels;78864,531;77671,678;75361,852;74354,252;68853,003;70322,807;72210,305;70405,188;63425,57;60885,744;56282,139;55692,007;54901,426;56193,091;54234,875;54656,558;57227,418;55783,848;54786,807;51172,61;55222,218;54638,924;50261,754;53190,541;49272,847;48374,764;49536,845;49671,831;49250,079;43840,905;40914,707;45913,985;42145,612
Poland;Natural gas;8937,747;8334,394;7762,188;8153,848;8215,993;8994,755;9445,249;9417,433;9514,295;9263,22;9959,695;10376,591;10113,199;11260,684;11880,567;12234,501;12581,535;12494,604;12565,886;12062,36;12804,729;12836,393;13680,288;13735,834;13404,428;13775,774;14633,405;15444,888;16124,103;16227,909;17440,338;18230,683;15044,001
Poland;Oil and petroleum products (excluding biofuel portion);13669,685;13464,052;14032,625;14394,529;15069,21;16092,084;18166,354;18681,414;19180,895;19892,198;19904,424;20461,152;20422,378;20565,915;21950,578;22311,152;23967,401;24504,569;25441,132;24811,488;26169,584;26339,36;25113,068;22955,218;22822,363;24265,95;26750,343;30236,707;31064,837;31576,414;29737,98;31624,161;33193,642
Poland;Renewables and biofuels;1581,603;1355,546;1496,088;3925,738;3847,349;3924,018;3868,649;3866,886;3916,28;3752,804;3801,557;4070,756;4142,185;4148,118;4320,78;4486,514;4694,944;4823,745;5559,413;6279,418;7314,159;7992,56;8677,736;8655,089;8717,706;9103,113;8909,692;9047,198;12285,053;12701,968;12950,827;13081,009;13643,852
Portugal;Total;17854,442;18094,816;19189,455;18831,444;19228,366;21212,627;21044,486;22135,89;23792,212;25765,736;26045,024;26029,074;27091,102;26488,911;27407,245;28015,417;26751,276;26691,668;26116,741;25653,569;24841,817;24328,719;22966,088;23040,215;23320,573;24230,2;24284,081;25419,887;24843,099;24857,905;22086,686;22203,331;23289,048
Portugal;Solid fossil fuels;2757,096;2905,728;2952,425;3160,904;3327,283;3601,438;3428,723;3528,872;3106,881;3788,688;3805,254;3192,048;3475,407;3280,53;3373,026;3349,068;3309,087;2887,039;2525,757;2861,156;1657,624;2208,385;2934,351;2650,161;2680,395;3258,283;2846,447;3227,148;2696,205;1248,145;565,735;195,598;6,796
Portugal;Natural gas;0;0;0;0;0;0;0;86,672;697,206;1945,486;2033,813;2255,073;2729,342;2636,285;3303,439;3750,688;3639,596;3808,362;4138,521;4217,218;4488,521;4463,65;3932,631;3755,868;3473,345;4050,882;4322,843;5415,396;5043,47;5302,668;5204,051;4972,747;4818,007
Portugal;Oil and petroleum products (excluding biofuel portion);11816,803;11897,824;13272,594;12460,575;12398,958;14214,863;13727,456;14523,517;16232,427;16737,849;16279,478;16464,584;17080,039;15995,292;16277,794;16714,33;14977,118;14738,374;14179,349;13239,226;12850,961;12095,106;10911,869;10923,259;10809,026;11001,12;11124,658;11363,328;11049,167;11775,264;9635,067;9802,788;10979,114
Portugal;Renewables and biofuels;3277,362;3283,352;2849,131;3194,917;3425,771;3317,737;3792,777;3747,559;3732,139;3339,19;3759,32;4009,544;3551,887;4241,239;3799,489;3474,514;4212,534;4480,646;4329,371;4785,63;5459,156;5137,875;4354,502;5300,914;6107,682;5566,49;6229,765;5456,289;6109,03;6060,098;6369,492;6636,851;6518,615
Romania;Total;63183,171;51885,4;46310,91;45961,618;43246,769;46788,895;47950,57;45018,489;41236,568;36391,705;36756,989;36992,611;38318,955;39927,117;39345,51;38686,289;40097,996;39839,813;39689,348;34807,408;35021,458;35760,615;34998,756;31909,419;31665,428;31917,548;31826,369;33562,493;33610,239;33239,401;32264,95;34326,578;31682,852
Romania;Solid fossil fuels;12703,32;10229,348;10714,325;10133,313;10402,275;10794,123;10746,028;9705,672;8070,101;6849,402;7467,31;7616,502;8770,803;9368,182;9243,868;8753,7;9479,571;10091,609;9557,406;7519,507;6948,709;8092,644;7560,015;5708,308;5727,532;5892,232;5277,933;5388,666;5046,953;4893,433;3481,925;4044,579;3513,394
Romania;Natural gas;28838,457;23797,571;21194,776;20375,903;18558,985;19240,112;19418,487;15938,543;14984,652;13731,019;13679,88;13179,815;13628,74;14729,342;13937,317;13923,194;14198,667;12761,995;12159,458;10580,353;10788,392;11105,052;10777,386;9838,951;9349,205;8917,304;9023,741;9707,884;9942,38;9264,815;9684,052;9947,512;8350,252
Romania;Oil and petroleum products (excluding biofuel portion);19243,735;15283,364;11977,742;13027,815;11914,22;13566,69;13472,901;13073,997;12134,06;10141,997;10123,35;11252,548;10878,228;10649,006;10174,393;9797,006;10466,711;10318,558;10015,573;8626,606;8657,592;8643,584;8408,194;8013,382;8059,761;8693,12;8863,568;9661,034;9739,11;9924,135;9684,692;10546,047;10539,01
Romania;Renewables and biofuels;1582,87;1969,184;1799,035;2254,008;2270,579;2796,331;3843,962;4860,118;4644,679;4397,034;4040,551;3423,206;3749,226;4001,753;4567,402;4940,348;4780,888;4747,786;5343,367;5268,536;5860,59;5067,402;5195,078;5550,959;6123,642;5973,12;6192,829;6041,933;6037,599;6012,639;5989,202;6396,255;6008,331
Slovenia;Total;5733,851;5572,577;5171,175;5429,733;5650,641;6091,964;6347,695;6598,458;6474,827;6462,655;6561,236;6974,481;6988,074;7100,552;7297,197;7584,263;7542,448;7654,263;8083,847;7095,918;7272,638;7275,267;7015,213;6843,718;6611,142;6563,225;6832,31;7056,403;7065,99;6914,678;6455,873;6630,698;6368,836
Slovenia;Solid fossil fuels;1573,191;1436,241;1495,612;1426,238;1329,838;1379,339;1270,163;1411,399;1429,128;1307,417;1305,949;1430,064;1567,954;1492,147;1538,021;1538,428;1564,647;1598,304;1535,812;1427,021;1453,379;1464,658;1392,884;1351,998;1048,665;1067,887;1147,378;1140,425;1131,466;1066,221;1020,145;935,215;747,942
Slovenia;Natural gas;762,726;725,838;615,563;614,703;629,772;745,83;728,611;794,862;819,347;853,74;825,58;849,936;819,819;906,728;898,732;928,826;899,248;914,187;878,697;831,535;862,833;737,618;710,082;691,853;626,01;664,316;705,052;738,642;724,718;735,615;735,545;775,182;683,544
Slovenia;Oil and petroleum products (excluding biofuel portion);1770,013;1729,046;1630,966;1965,031;2112,948;2333,563;2714,55;2714,882;2531,368;2652,778;2413,808;2507,913;2435,722;2471,542;2548,476;2601,806;2682,49;2649,685;3082,443;2611,852;2621,622;2613,296;2555,679;2413,662;2384,114;2352,571;2524,395;2585,733;2679,372;2560,185;2124,708;2277,993;2378,669
Slovenia;Renewables and biofuels;520,612;577,668;560,59;525,222;555,47;542,519;578,48;528,475;559,387;552,417;901,033;982,681;836,046;867,257;959,847;1014,625;948,065;992,603;1096,927;1117,752;1163,245;1083,25;1114,39;1220,693;1255,884;1112,784;1167,546;1099,746;1151,47;1142,815;1193,662;1258,383;1043,986
Slovakia;Total;21281,939;19092,974;18063,214;17723,119;17423,865;17782,055;18079,708;18097,431;17545,762;17631,636;17731,325;18498,82;18643,663;18544,997;18259,703;18698,938;18540,666;17756,179;18262,551;16690,193;18428,207;17865,061;17301,629;17452,292;16130,826;16850,477;17003,816;17883,333;17534,083;17018,262;16446,618;17792,853;16617,971
Slovakia;Solid fossil fuels;7831,134;6959,214;6150,186;6121,148;5459,551;5390,441;5332,156;5084,989;4684,691;4554,99;4271,19;4425,936;4268,05;4590,837;4523,077;4238,771;4456,386;4004,064;4008,782;3872,845;3897,234;3703,541;3476,952;3450,677;3424,027;3279,036;3222,08;3376,789;3339,007;2729,946;2304,985;2823,248;2402,819
Slovakia;Natural gas;5087,962;4525,279;4977,515;4929,192;4706,255;5217,197;5498,388;5579,579;5669,54;5738,156;5776,419;6168,358;5867,347;5668,702;5498,409;5883,641;5377,88;5089,338;5166,316;4424,334;5006,427;4637,059;4365,327;4558,04;3772,334;3879,45;3895,335;4136,668;4077,061;4086,223;4088,253;4551,055;3791,807
Slovakia;Oil and petroleum products (excluding biofuel portion);4475,664;3951,277;3496,968;2896,931;3146,571;3397,824;3339,027;3514,363;3444,268;3126,71;2850,919;2843,834;3302,315;3051,433;3075,81;3265,473;3217,43;3418,213;3601,878;3317,34;3505,191;3433,41;3222,073;3094,703;2840,333;3104,69;3326,213;3690,203;3785,959;3597,941;3598,446;3737,147;3829,709
Slovakia;Renewables and biofuels;328,007;262,917;284,375;469,719;545,5;497,206;438,669;432,512;439,004;455,823;488,129;767,303;745,402;646,053;729,628;808,553;834,843;942,73;938,569;1131,067;2041,358;1961,987;2109,179;2105,025;1793,085;2161,412;2235,296;2227,401;2069,783;2197,812;2147,023;2325,05;2147,687
Finland;Total;29211,961;29566,159;27987,843;29289,462;31129,996;29542,762;31793,698;33036,686;33448,8;33432,08;33441,182;34190,185;36020,761;37932,542;38252,556;35353,875;38507,733;37877,456;36375,058;33864,827;37003,181;35635,262;34295,005;33751,786;34444,261;32958,648;34150,102;34609,346;35236,082;34545,258;32433,152;33990,303;32831,938
Finland;Solid fossil fuels;4099,913;4036,403;3514,43;4147,584;5157,27;4307,906;5208,101;4803,178;3592,319;3597,905;3627,182;4174,281;4452,836;5862,193;5375,347;3261,952;5092,961;4749,857;3366,698;3535,801;4586,783;3948,281;2994,989;3787,802;3070,626;2735,524;2956,109;2836,165;2735,441;2128,57;1838,623;2079,265;2152,994
Finland;Natural gas;2182,846;2307,201;2391,251;2483,04;2745,486;2839,488;2967,261;2906,728;3335,576;3337,984;3430,439;3715,843;3692,67;4094,175;3960,06;3606,685;3885,254;3731,319;3862,207;3483,759;3837,08;3359,951;3005,077;2856,394;2513,221;2236,264;2058,704;1937,083;2177,896;2132,455;2117,289;2128,562;1098,882
Finland;Oil and petroleum products (excluding biofuel portion);10341,745;10766,893;9633,239;9849,127;10175,279;8837,92;9873,907;10303,714;10782,512;10583,965;10160,331;9836,497;10899,241;11204,368;11556,448;11044,304;11488,457;10943,407;10711,188;10013,915;10257,304;10128,969;9425,681;8488,32;9532,714;8727,475;9506,607;9174,259;9185,763;8870,506;8152,937;7557,891;8138,113
Finland;Renewables and biofuels;5490,208;5316,879;5380,805;5652,728;5796,792;6128,108;6162,203;6744,668;7246,872;7255,673;7750,728;7482,998;7785,748;7838,467;8669,493;8085,762;8690,713;8656,948;9091,751;7999,032;9293,334;9097,378;9954,22;9861,519;10276,225;10489,011;10635,281;11784,295;12057,207;12212,923;12015,425;13709,939;12923,234
Sweden;Total;48037,41;49643,401;47337,113;47474,428;50866,445;51466,481;52668,755;51633,379;52699,279;51767,131;49065,213;52030,233;52923,55;52220,3;54569,982;53345,256;52196,973;51927,911;51640,456;46936,505;52417,345;52569,567;52407,675;51516,706;51057,123;48869,428;51113,298;52668,41;52865,731;51785,352;47362,319;49735,943;47871,143
Sweden;Solid fossil fuels;2722,977;2520,22;2354,648;2424,875;2647,078;2569,839;2728,711;2352,507;2261,217;2183,621;2217,895;2483,671;2496,844;2329,467;2563,038;2320,72;2420,538;2403,514;2067,486;1583,081;2139,284;2159,931;1940,82;1986,522;1932,97;1980,216;1906,102;1910,165;2006,103;1857,815;1503,879;1658,615;1482,177
Sweden;Natural gas;576,956;616,402;695,744;759,308;753,805;754,557;808,534;798,689;791,617;793,315;775,838;875,322;890,778;888,263;884,394;842,627;881,857;910,533;826,526;1089,51;1465,929;1158,641;1006,599;955,288;794,046;723,603;818,237;938,641;1022,012;959,88;1272,915;1023,957;645,332
Sweden;Oil and petroleum products (excluding biofuel portion);15322,727;15317,1;15406,577;15424,501;16613,166;16861,099;17052,637;16632,921;17026,433;16668,4;15588,037;15870,694;17701,174;17343,455;17333,683;16776,608;16145,888;15595,242;16272,027;14612,274;16517,577;16159,881;14932,601;14252,835;14010,919;11337,474;12954,692;13036,936;13417,236;12609,64;11060,301;11886,946;11397,326
Sweden;Renewables and biofuels;11530,319;10993,537;12162,947;12558,499;11456,83;12836,188;11858,858;13523,627;14004,838;13358,63;14741,132;14230,177;13122,889;12412,555;13193,164;14583,477;14166,166;14957,691;15365,783;15573,189;16751,977;17625,451;19794,255;18382,496;18539,719;20480,391;19814,263;21104,356;20212,275;21422,142;22595,182;23986,834;23806,103
Iceland;Total;2420,74;2194,219;2159,023;2313,939;2353,815;2369,144;2550,269;2528,461;2723,631;3052,952;3420,102;3285,224;3390,493;3393,971;3383,326;3439,049;4232,978;4982,015;5733,583;5889,863;5602,154;6000,012;5864,082;6091,041;6089,26;5870,848;5669,399;6029,918;6641,678;6401,699;6008,591;6088,933;:
Iceland;Solid fossil fuels;64,157;65,151;46,118;45,063;67,314;55,014;63,965;56,057;66,007;57,397;97,605;92,41;96,232;90,708;102,8;99,407;88,918;106,546;93,41;85,403;90,126;90,73;92,641;97,595;86,743;93,004;96,872;97,303;112,57;106,207;92,877;128,496;:
Iceland;Natural gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;:
Iceland;Oil and petroleum products (excluding biofuel portion);736,577;630,563;690,769;746,792;741,597;752,575;838,144;837,284;875,031;892,202;908,825;865,695;904,626;906,759;946,9;955,185;1037,922;1022,707;1132,225;1073,266;721,126;710,189;700,779;709,253;767,873;836,29;951,497;994,05;1078,424;949,097;631,461;738,415;:
Iceland;Renewables and biofuels;1620,006;1498,505;1422,136;1521,558;1544,378;1561,03;1647,635;1634,594;1782,067;2102,828;2413,003;2326,45;2388,798;2395,667;2332,79;2383,621;3105,302;3849,753;4506,109;4730,716;4790,472;5199,093;5070,663;5284,194;5234,643;4941,554;4621,03;4938,564;5450,685;5346,395;5284,253;5222,023;:
Norway;Total;21358,997;21815,504;22248,486;23625,748;23324,669;23640,944;23199,653;24643,363;25723,879;26865,208;26384,533;28065,748;25883,117;27814,181;29465,863;30364,757;30509,357;28843,797;31691,446;31092,281;33063,451;28955,299;30825,408;32288,008;29657,399;26744,974;29443,202;31056,633;31175,416;29750,212;28989,738;30034,053;:
Norway;Solid fossil fuels;862,793;784,48;768,391;849,823;987,157;1023,593;1004,655;1029,249;1071,195;1062,088;1051,003;944,244;813,122;788,674;927,245;775,903;713,426;804,865;859,334;561,211;763,139;846,178;816,456;775,182;850,024;820,897;757,636;847,705;823,223;801,166;823,727;840,115;:
Norway;Natural gas;1976,048;1931,825;3237,227;3696,111;3926,699;3461,589;2984,772;3921,557;4305,454;4756,192;4144,561;6161,672;4290,365;5190,133;4043,004;4071,467;4023,033;4867,406;5554,572;5413,158;6384,256;5059,948;5487,217;5620,457;5727,762;6232,631;5618,064;5024,99;5560,685;5033,825;4600,784;5072,504;:
Norway;Oil and petroleum products (excluding biofuel portion);8407,84;8853,447;7972,514;8419,051;7655,626;8109,521;8364,319;8725,709;8762,318;9217,726;9237,468;9028,462;9165,212;10693,386;12669,388;13268,14;13774,554;10797,011;12596,794;13186,192;12915,831;10551,316;11418,538;12792,472;10407,518;6589,583;9521,488;11214,391;10583,383;9631,957;9337,347;9023,638;:
Norway;Renewables and biofuels;11394,12;10390,976;10937,652;11240,9;10674,291;11530,095;9981,958;10549,694;11171,19;11882,325;13486,133;11500,573;12330,687;10333,376;10704,468;13132,492;11772,343;13068,012;13690,963;12544,211;12134,248;12550,046;14408,616;13178,833;13627,021;13956,539;14568,659;14879,726;14663,941;13871,466;15598,083;16178,432;:
United Kingdom;Total;214547,313;221048,74;221081,238;223399,444;229960,284;225901,648;235740,774;230044,737;233254,14;233786,058;235338,491;236209,333;232728,404;237112,231;235278,675;236864,488;233657,759;226099,198;223714,607;207308,898;215795,147;200886,424;204604,187;201320,84;190352,358;193599,379;191122,253;188732,575;188474,12;184967,77;:;:;:
United Kingdom;Solid fossil fuels;63107,418;63509,078;59577,205;52288,955;49500,241;47147,685;44298,951;40087,531;38988,555;34800,249;36501,115;38749,957;37512,01;40725,342;37222,458;37729,156;41146,212;39325,98;35978,363;29149,568;31873,87;30888,983;39325,92;36933,112;29588,08;24669,916;12636,952;10145,578;8190,303;5872,59;:;:;:
United Kingdom;Natural gas;47203,396;50879,686;50713,693;57778,396;60217,992;65119,454;75962,102;76220,034;79378,461;84197,098;87399,334;86649,721;85855,288;85881,793;87751,548;85472,807;81062,36;81963,865;84899,355;78101,806;84817,433;70343,164;66385,361;65783,813;59939,785;61246,473;68954,881;67275,743;68075,045;66833,79;:;:;:
United Kingdom;Oil and petroleum products (excluding biofuel portion);85162,61;85978,51;88107,131;87401,12;94104,586;87283,229;87678,598;84871,646;85848,297;86695,562;85824,227;83786,079;82699,014;83958,34;85135,478;87333,071;86579,822;82979,647;81967,061;77457,776;77089,255;74579,138;72998,782;70486,761;71821,352;73558,277;74761,863;75636,944;74971,505;73675,951;:;:;:
United Kingdom;Renewables and biofuels;1028,915;1015,31;1361,555;1348,19;1766,686;1835,827;1777,099;1944,435;2080,945;2133,209;2263,767;2274,732;2524,331;2705,307;3241,963;3904,643;4202,722;4529,945;5855,22;6580,559;7378,17;8175,451;8870,282;10813,339;12533,441;15843,812;16516,782;18103,939;20236,095;21981,366;:;:;:
Bosnia and Herzegovina;Total;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;6002,622;6183,064;6767,126;6754,465;7478,331;7230,302;7108,25;7374,079;:
Bosnia and Herzegovina;Solid fossil fuels;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;3657,915;3615,414;4111,803;4188,714;4230,078;3908,08;4009,674;3972,128;:
